dimension,defination,sentence
extraversion,Extraversion measures the quantity and intensity of interpersonal interaction need for stimulation and capacity for joy,"I am energized by social interactions, e.g.: I feel most alive when I'm at a party with friends."
extraversion,Extraversion measures the quantity and intensity of interpersonal interaction need for stimulation and capacity for joy,"I enjoy being the center of attention, e.g.: I love giving presentations and public speaking."
extraversion,Extraversion measures the quantity and intensity of interpersonal interaction need for stimulation and capacity for joy,"I am talkative, e.g.: I can easily strike up a conversation with strangers."
extraversion,Extraversion measures the quantity and intensity of interpersonal interaction need for stimulation and capacity for joy,"I seek excitement, e.g.: I always look for new and thrilling experiences."
extraversion,Extraversion measures the quantity and intensity of interpersonal interaction need for stimulation and capacity for joy,"I am assertive, e.g.: I always express my opinions confidently."
agreeableness,Agreeableness assesses an individual's likability and attitudes towards others balancing compassion and sympathy with antagonism and distrust,"I am compassionate, e.g.: I always try to help those in need."
agreeableness,Agreeableness assesses an individual's likability and attitudes towards others balancing compassion and sympathy with antagonism and distrust,"I trust others, e.g.: I believe people are generally good."
agreeableness,Agreeableness assesses an individual's likability and attitudes towards others balancing compassion and sympathy with antagonism and distrust,"I am cooperative, e.g.: I always try to find solutions that work for everyone."
agreeableness,Agreeableness assesses an individual's likability and attitudes towards others balancing compassion and sympathy with antagonism and distrust,"I am forgiving, e.g.: I don't hold grudges against those who have wronged me."
agreeableness,Agreeableness assesses an individual's likability and attitudes towards others balancing compassion and sympathy with antagonism and distrust,"I am considerate, e.g.: I always think about how my actions affect others."
conscientiousness,Conscientiousness relates to impulse control organization and goal-directed behavior,"I am organized, e.g.: I keep a detailed planner and to-do list."
conscientiousness,Conscientiousness relates to impulse control organization and goal-directed behavior,"I am disciplined, e.g.: I always stick to my exercise routine."
conscientiousness,Conscientiousness relates to impulse control organization and goal-directed behavior,"I am reliable, e.g.: I always meet my deadlines."
conscientiousness,Conscientiousness relates to impulse control organization and goal-directed behavior,"I am thorough, e.g.: I double-check all my work before submitting it."
conscientiousness,Conscientiousness relates to impulse control organization and goal-directed behavior,"I am ambitious, e.g.: I set high goals and work hard to achieve them."
neuroticism,Neuroticism refers to tendencies towards anxiety hostility depression self-consciousness impulsiveness and vulnerability,"I worry a lot, e.g.: I often feel anxious about things that might go wrong."
neuroticism,Neuroticism refers to tendencies towards anxiety hostility depression self-consciousness impulsiveness and vulnerability,"I am emotionally sensitive, e.g.: I get upset easily when criticized."
neuroticism,Neuroticism refers to tendencies towards anxiety hostility depression self-consciousness impulsiveness and vulnerability,"I feel stressed often, e.g.: I find it hard to relax even during vacations."
neuroticism,Neuroticism refers to tendencies towards anxiety hostility depression self-consciousness impulsiveness and vulnerability,"I am moody, e.g.: My emotions change frequently throughout the day."
neuroticism,Neuroticism refers to tendencies towards anxiety hostility depression self-consciousness impulsiveness and vulnerability,"I feel insecure, e.g.: I often doubt my abilities and decisions."
openness,Openness relates to a cognitive style that values exploration and appreciation of new experiences,"I am imaginative, e.g.: I often daydream about different scenarios."
openness,Openness relates to a cognitive style that values exploration and appreciation of new experiences,"I appreciate art, e.g.: I spend a lot of time visiting museums and galleries."
openness,Openness relates to a cognitive style that values exploration and appreciation of new experiences,"I am intellectually curious, e.g.: I love learning about new subjects."
openness,Openness relates to a cognitive style that values exploration and appreciation of new experiences,"I value creativity, e.g.: I enjoy coming up with new ideas for projects."
openness,Openness relates to a cognitive style that values exploration and appreciation of new experiences,"I am open to new experiences, e.g.: I always try new foods when I travel."
