dimension,defination,sentence
care,cherishing and protecting others and empathizing with those who suffer,"I am deeply moved by others' suffering, e.g.: I always donate to disaster relief efforts."
care,cherishing and protecting others and empathizing with those who suffer,"I care about the well-being of children, e.g.: I volunteer at after-school programs."
care,cherishing and protecting others and empathizing with those who suffer,"I am sensitive to others' pain, e.g.: I can't watch violent movies because they upset me."
care,cherishing and protecting others and empathizing with those who suffer,"I protect those who cannot protect themselves, e.g.: I speak up when I see someone being bullied."
care,cherishing and protecting others and empathizing with those who suffer,"I value kindness, e.g.: I always try to do at least one kind thing for someone each day."
fairness,rendering justice according to shared rules and avoiding cheating,"I believe in equal treatment, e.g.: I always ensure everyone gets a fair share."
fairness,rendering justice according to shared rules and avoiding cheating,"I oppose cheating, e.g.: I would never take credit for someone else's work."
fairness,rendering justice according to shared rules and avoiding cheating,"I value honesty, e.g.: I always tell the truth even when it's difficult."
fairness,rendering justice according to shared rules and avoiding cheating,"I support fair processes, e.g.: I always follow the rules in competitions."
fairness,rendering justice according to shared rules and avoiding cheating,"I advocate for justice, e.g.: I speak up when I see unfair treatment."
loyalty,standing with your group family nation or tribe,"I am loyal to my friends, e.g.: I always support my friends even when they make mistakes."
loyalty,standing with your group family nation or tribe,"I value teamwork, e.g.: I always put the team's goals above my own."
loyalty,standing with your group family nation or tribe,"I am patriotic, e.g.: I feel proud of my country's achievements."
loyalty,standing with your group family nation or tribe,"I stand by my family, e.g.: I always make time for family gatherings."
loyalty,standing with your group family nation or tribe,"I am a reliable team member, e.g.: I always do my part in group projects."
authority,obeying tradition and legitimate authority and respecting those in power,"I respect my elders, e.g.: I always follow my parents' advice."
authority,obeying tradition and legitimate authority and respecting those in power,"I follow leadership, e.g.: I trust my manager's decisions."
authority,obeying tradition and legitimate authority and respecting those in power,"I value discipline, e.g.: I always follow the rules in my workplace."
authority,obeying tradition and legitimate authority and respecting those in power,"I respect institutions, e.g.: I believe in the importance of the legal system."
authority,obeying tradition and legitimate authority and respecting those in power,"I value order, e.g.: I believe society functions best with clear rules and structure."
sanctity,avoiding disgusting things which are seen as unworthy of respect and protection,"I value purity, e.g.: I avoid foods that I consider unclean."
sanctity,avoiding disgusting things which are seen as unworthy of respect and protection,"I respect sacred things, e.g.: I treat religious symbols with reverence."
sanctity,avoiding disgusting things which are seen as unworthy of respect and protection,"I avoid degradation, e.g.: I don't engage in activities I consider degrading."
sanctity,avoiding disgusting things which are seen as unworthy of respect and protection,"I value cleanliness, e.g.: I keep my living space spotless."
sanctity,avoiding disgusting things which are seen as unworthy of respect and protection,"I maintain moral purity, e.g.: I avoid content that I find morally offensive."
