dimension,defination,sentence
self-direction,independent thought and action-choosing creating exploring,"I am curious and eager to learn new things, e.g.: I often find myself researching topics that I'm not familiar with, just for the sake of expanding my knowledge."
self-direction,independent thought and action-choosing creating exploring,"I enjoy exploring new cultures and ways of life, e.g.: I would rather travel to a country I've never been to before than revisit a familiar destination."
self-direction,independent thought and action-choosing creating exploring,"I prefer to make my own decisions, e.g.: I always weigh the options myself before asking others for advice."
self-direction,independent thought and action-choosing creating exploring,"I value my independence, e.g.: I would rather work on a project alone than rely on someone else's help."
self-direction,independent thought and action-choosing creating exploring,"I like to think outside the box, e.g.: I often come up with unconventional solutions to problems."
stimulation,excitement novelty and challenge in life,"I seek out new experiences, e.g.: I love trying new activities like skydiving or rock climbing."
stimulation,excitement novelty and challenge in life,"I enjoy taking risks, e.g.: I would rather invest in a startup than put my money in a savings account."
stimulation,excitement novelty and challenge in life,"I thrive on challenges, e.g.: I always volunteer for the most difficult projects at work."
stimulation,excitement novelty and challenge in life,"I love adventure, e.g.: I prefer vacations that involve exploring unknown places rather than relaxing at a resort."
stimulation,excitement novelty and challenge in life,"I get bored easily with routine, e.g.: I frequently change my hobbies to keep things interesting."
hedonism,pleasure or sensuous gratification for oneself,"I enjoy indulging in pleasurable activities, e.g.: I spend my weekends at spas rather than working overtime."
hedonism,pleasure or sensuous gratification for oneself,"I seek out experiences that bring me joy, e.g.: I prefer going to concerts rather than staying home watching TV."
hedonism,pleasure or sensuous gratification for oneself,"I believe in living life to the fullest, e.g.: I always make time for the things I enjoy."
hedonism,pleasure or sensuous gratification for oneself,"I prioritize my own happiness, e.g.: I treat myself to nice dinners regularly."
hedonism,pleasure or sensuous gratification for oneself,"I value sensory experiences, e.g.: I love trying different cuisines from around the world."
achievement,personal success through demonstrating competence according to social standards,"I am driven to succeed, e.g.: I work long hours to ensure I meet my goals."
achievement,personal success through demonstrating competence according to social standards,"I set high standards for myself, e.g.: I always aim to be the best in my field."
achievement,personal success through demonstrating competence according to social standards,"I value recognition for my work, e.g.: I feel proud when my efforts are acknowledged by others."
achievement,personal success through demonstrating competence according to social standards,"I am competitive, e.g.: I always strive to outperform my peers."
achievement,personal success through demonstrating competence according to social standards,"I am ambitious, e.g.: I have a clear plan for my career advancement."
power,social status and prestige control or dominance over people and resources,"I value leadership positions, e.g.: I always volunteer to lead team projects."
power,social status and prestige control or dominance over people and resources,"I seek influence over others, e.g.: I enjoy mentoring junior colleagues."
power,social status and prestige control or dominance over people and resources,"I value material success, e.g.: I work hard to afford a luxurious lifestyle."
power,social status and prestige control or dominance over people and resources,"I like to be in control, e.g.: I prefer to make the final decisions in group settings."
power,social status and prestige control or dominance over people and resources,"I value social status, e.g.: I care about how others perceive my achievements."
security,safety harmony and stability of society relationships and of self,"I prioritize safety, e.g.: I always wear my seatbelt and follow traffic rules."
security,safety harmony and stability of society relationships and of self,"I value stability, e.g.: I prefer a steady job over a risky but potentially rewarding career."
security,safety harmony and stability of society relationships and of self,"I plan for the future, e.g.: I have a comprehensive insurance policy and retirement plan."
security,safety harmony and stability of society relationships and of self,"I avoid unnecessary risks, e.g.: I always back up my important files and documents."
security,safety harmony and stability of society relationships and of self,"I seek harmony in my relationships, e.g.: I avoid conflicts and try to maintain peace."
conformity,restraint of actions inclinations and impulses likely to upset or harm others and violate social expectations or norms,"I follow rules strictly, e.g.: I always wait at a red light even when no cars are around."
conformity,restraint of actions inclinations and impulses likely to upset or harm others and violate social expectations or norms,"I respect authority, e.g.: I always follow my manager's instructions without questioning."
conformity,restraint of actions inclinations and impulses likely to upset or harm others and violate social expectations or norms,"I behave appropriately, e.g.: I always dress according to the dress code."
conformity,restraint of actions inclinations and impulses likely to upset or harm others and violate social expectations or norms,"I value politeness, e.g.: I always say please and thank you."
conformity,restraint of actions inclinations and impulses likely to upset or harm others and violate social expectations or norms,"I avoid causing trouble, e.g.: I keep my opinions to myself in formal settings."
tradition,respect commitment and acceptance of the customs and ideas that one's culture or religion provides,"I respect traditions, e.g.: I always celebrate holidays according to my family's customs."
